,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Education_Associate_Degree,Education_Bachelor_Degree,Education_Doctorate_Degree,Education_GED_or_Alternative_Credential,Education_Master_Degree,Education_No_Schooling_Completed,Education_Nursery_School_to_8th_Grade,Education_Professional_School_Degree,Education_Regular_High_School_Diploma,Education_Some_College__1_or_More_Years__No_Degree,Education_Some_College__Less_than_1_Year,Employment_Part_Time,Employment_Retired,Employment_Student,Employment_Unemployed,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Prefer_not_to_answer,Churn_Yes,Techie_Yes,Contract_One_year,Contract_Two_Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber_Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit_Card__auto,PaymentMethod_Electronic_Check,PaymentMethod_Mailed_Check
70,4.0,60.0,42784.82,5.824350345,0,23.92132231,212.350527,2676.789803,5,5,6,5,3,7,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
71,0.0,87.0,77996.88,7.013094993,0,3.7311787,254.1636111,1268.086909,3,3,4,5,4,3,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
75,2.0,67.0,81124.71,13.64707199,0,5.43464555,271.3744783,1648.102673,3,3,4,3,5,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
79,0.0,20.0,79167.77,13.64419363,0,9.677739656,126.242338,1129.549713,3,4,3,4,5,4,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0
92,0.0,68.0,115510.46,5.655483352,0,3.273341151,163.0404044,443.984031,2,2,2,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
107,2.0,56.0,12154.01,13.04270304,2,13.08671185,170.9069787,1436.793746,4,4,3,3,5,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
108,0.0,42.0,30649.31,13.73417339,2,14.76468813,173.540759,1963.332683,4,3,4,3,5,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
110,1.0,47.0,55861.19,13.82441538,0,5.197446331,135.5831384,704.9375603,4,4,4,4,3,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
115,0.0,56.0,35499.06,7.664895103,0,23.34617699,162.9713747,2253.85247,6,5,4,4,4,3,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
122,1.0,65.0,36478.21,8.525291338,0,10.04672315,116.2578796,980.9935923,2,2,3,4,3,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
130,0.0,47.0,125814.88,39.69685071,1,6.085030507,168.9164634,1162.332926,3,3,4,2,4,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
151,2.0,72.0,8115.88,7.873925555,1,14.53027663,219.0979664,1637.201426,2,3,3,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0
152,1.0,41.0,33858.66,10.73651517,0,5.905906389,162.6872403,951.8524406,5,5,4,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1
154,4.0,55.0,49421.69,9.985758463,0,18.91276578,217.1759217,2220.255405,4,4,3,5,4,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0
156,0.0,87.0,15388.32,9.06736268,2,7.983887266,188.8828828,990.0555076,4,4,3,3,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
160,0.0,50.0,107111.8,16.4453186,0,2.600063739,163.5417337,528.6553088,3,3,2,3,4,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
168,3.0,58.0,87537.25,8.703192042,1,12.07358377,136.5814796,1623.045026,2,3,3,4,2,4,3,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
176,1.0,58.0,87535.71,38.84239397,1,8.850426839,150.2503098,1456.887443,3,2,3,3,4,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
177,6.0,51.0,63166.87,6.716441223,0,3.701557118,208.2316853,937.5863866,3,4,4,3,4,4,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
181,4.0,59.0,25519.91,12.58697596,1,23.00764441,239.8799022,2464.577489,4,3,3,4,3,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
182,7.0,23.0,46871.21,8.221151632,0,17.24924155,139.2626039,2392.203409,5,4,5,5,1,6,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
185,2.0,81.0,90977.74,10.198227,0,3.521499924,146.8941358,823.4933243,4,4,2,2,4,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
190,0.0,46.0,33504.8,9.726562155,0,1.408375942,118.208419,733.4036934,4,4,5,4,5,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
193,0.0,33.0,31065.17,12.96792817,1,10.25635754,173.0313406,1261.032763,4,3,4,4,3,3,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0
195,1.0,31.0,23424.88,16.68993581,1,3.226996711,211.8578547,932.6084359,4,4,4,2,4,4,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
196,1.0,34.0,35988.24,11.8025558,0,15.87685513,140.0405498,1708.614019,5,5,5,6,2,5,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
197,4.0,43.0,35539.7,8.245454579,1,5.874064017,140.4453409,1363.58603,5,5,3,4,4,3,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
199,6.0,36.0,52232.97,7.728726815,0,2.905283283,101.8438362,558.2340556,2,2,1,5,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
205,0.0,25.0,30664.56,9.937781234,0,17.72593456,240.4725051,2059.200998,2,3,3,4,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
206,0.0,88.0,31934.04,9.565037275,0,3.043063167,173.7486679,617.542543,4,3,3,3,3,4,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0
218,5.0,41.0,19097.94,8.147436948,1,21.29342532,125.7386793,2409.195918,3,2,3,2,5,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
221,1.0,32.0,22533.05,10.47191807,1,4.973046104,242.0777704,1204.479468,3,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0
226,1.0,62.0,11217.96,11.62807867,0,6.035737465,178.9084869,795.4957358,2,3,2,4,4,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
229,1.0,43.0,36128.68,11.17573274,1,12.02106494,194.8797867,1447.196935,4,3,2,3,4,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
231,1.0,63.0,25985.06,7.689595509,0,18.17247008,148.1522435,1707.641161,3,3,3,4,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
233,1.0,27.0,41151.14,7.555277641,0,16.0708543,156.7666268,1575.683555,3,3,4,6,2,4,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
236,0.0,42.0,41412.1,12.57508459,0,25.8634566,255.2383034,3309.919373,2,3,3,2,5,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0
248,4.0,56.0,16608.27,6.248246693,0,12.00466914,134.1063129,1248.626874,2,3,2,3,4,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
263,3.0,75.0,14039.21,9.180979874,0,10.23679934,175.5867291,1662.533055,6,6,5,2,3,4,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
265,1.0,52.0,15934.12,4.255766515,1,23.79323993,275.1341134,2677.74041,4,4,5,3,3,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
266,0.0,24.0,48314.4,10.26974039,0,11.45675389,286.6410116,1779.309609,2,2,2,5,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
268,3.0,19.0,10701.11,8.265164827,1,7.425503428,218.6268875,1740.72604,3,2,4,3,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
281,2.0,88.0,36315.29,8.066874491,0,1.586331702,130.7279929,676.1747964,4,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
282,0.0,44.0,5009.07,12.74139039,0,3.778174405,244.0736258,929.2607767,4,3,5,3,3,4,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
285,1.0,69.0,36453.31,10.68844836,0,20.78013031,159.7033775,1898.877878,3,3,4,3,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1
286,2.0,60.0,11250.71,11.14725719,1,3.940297464,160.1596912,992.3501481,3,3,5,5,2,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
288,8.0,62.0,15292.25,44.7082921,1,1.473304337,272.7876946,954.0290712,5,5,5,4,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1
291,2.0,82.0,68122.23,38.17398632,0,18.9537053,198.9185978,1746.405243,2,3,2,3,4,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
292,2.0,40.0,39468.79,9.118043425,1,9.640061615,196.5606487,1698.465833,3,3,4,3,5,2,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0
298,4.0,82.0,76066.77,15.29091474,1,18.35541838,140.0010273,1939.811149,3,3,4,4,4,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
299,2.0,68.0,42755.27,8.72210443,1,7.62779591,221.8399523,1165.564309,3,2,3,2,3,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1
302,1.0,80.0,63095.62,9.572309828,2,14.14101821,268.8522571,2335.130986,3,3,3,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
305,4.0,80.0,9450.84,9.60250162,1,3.834727471,137.5408537,649.3891796,4,4,4,3,4,3,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0
311,0.0,50.0,40271.47,13.80269881,0,9.821728297,172.3532296,1283.463995,3,3,3,3,5,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0
313,0.0,63.0,21053.35,11.38825289,1,8.892893007,175.6872618,1088.263081,2,3,2,4,4,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0
314,1.0,73.0,75866.75,9.406328914,0,7.661226872,91.77449723,583.0259559,4,5,4,2,4,3,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
318,1.0,82.0,29982.49,3.88555467,0,7.272649386,231.9214566,1143.826239,5,5,5,4,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0
321,1.0,73.0,28654.87,5.360000629,0,13.67931764,150.0306559,1245.328696,4,4,3,3,5,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1
322,1.0,78.0,119968.61,8.697049506,0,14.6728104,184.6885585,1564.936841,4,3,4,4,3,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0
325,1.0,43.0,8495.04,6.399784282,2,5.954024226,91.84215543,623.7865683,3,4,3,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
328,0.0,52.0,27282.21,7.78789857,1,21.08265979,169.5345122,2042.113893,4,5,4,4,3,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
336,4.0,49.0,114398.35,6.793471805,0,6.485034974,123.0406831,1221.100604,2,2,2,4,4,3,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
337,6.0,69.0,105646.73,6.233692299,0,1.14113241,251.6660847,745.0493094,2,3,4,1,5,2,3,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1
340,4.0,79.0,25215.22,7.046898951,0,5.690013293,245.148545,1201.484293,2,2,3,3,2,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0
343,0.0,57.0,29976.15,8.964607089,0,4.893221514,206.6806949,1284.442486,5,5,5,5,2,5,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0
346,9.0,54.0,24017.57,42.31709169,1,14.53315436,254.3826548,2494.633068,4,4,2,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0
348,3.0,56.0,27978.78,13.95175721,0,1.281566108,152.4722205,567.6177123,3,3,2,3,3,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0
354,3.0,74.0,64446.9,12.33013658,0,14.12966281,223.811356,1854.793303,4,4,4,5,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
356,0.0,54.0,23956.91,18.59712669,0,5.388165017,183.6519861,764.2419259,3,2,4,2,5,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
360,4.0,85.0,70023.28,7.700091329,0,6.10108047,207.4921577,1080.159892,4,3,5,4,3,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1
372,7.0,36.0,69104.9,13.62639938,0,22.33583015,162.9193066,2499.186161,2,3,4,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
374,0.0,48.0,65229.24,9.676658486,0,12.78453216,143.0693536,1865.48625,2,3,3,4,2,3,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
